name,type,url,recommended_style,tech_tags
JavaScript RegExp by Sundeep Agarwal,Book,https://learnbyexample.github.io/learn_js_regexp/,Reading/Writing,"Javascript, Beginners"
"JavaScript Air by Kent C. Dodds, Dan Abramov, Matt Zabriskie, Pam Selle, Lin Clark, Brian Lonsdorf, Iheanyi Ekechukwu, Tyler McGinnis, Kyle Simpson, et al.",Book,https://javascriptair.com/,Reading/Writing,"Javascript, Beginners"
"JavaScript Jabber by Aimee Knight, AJ O'Neal, Charles Wood, Dan Shappir, Steve Edwards, et al.",Book,https://javascriptjabber.com/,Reading/Writing,"Javascript, Beginners"
Javascript course by Hitesh Choudhary,Video,https://www.youtube.com/playlist?list=PLRAV69dS1uWSxUIk5o3vQY2-_VKsOpXLD,Visual,"Javascript, Beginners"
Javascript Essentials by Lawrence Turton,Online Course,https://www.udemy.com/javascript-essentials/,"Visual,Auditory,Kinesthetic,Reading/Writing","Javascript, Beginners"
Javascript Fundamentals by Bharath Thippireddy,Online Course,https://www.udemy.com/course/javascriptfundamentals,"Visual,Auditory,Kinesthetic,Reading/Writing","Javascript, Beginners"
JavaScript Tutorials by Moshfegh Hamedani,Video,https://www.youtube.com/playlist?list=PLTjRvDozrdlxEIuOBZkMAK5uiqp8rHUax,Viaual,"Javascript, Beginners"
Master Next JS by Building Real Projects by JavaScript Mastery,Video,https://www.youtube.com/playlist?list=PL6QREj8te1P7gixBDSU8JLvQndTEEX3c3,Viaual,"Javascript, Beginners"
JavaScript Cheatsheet by Codecademy,Book,https://www.codecademy.com/learn/introduction-to-javascript/modules/learn-javascript-introduction/cheatsheet,Reading/Writing,"Javascript, Beginners"
JavaScript CheatSheet,Book,https://htmlcheatsheet.com/js/,Reading/Writing,"Javascript, Beginners"
JavaScript Tutorial by W3Schools,Online Course,https://www.w3schools.com/js,"Visual,Auditory,Kinesthetic,Reading/Writing","Javascript, Beginners"
JavaScript Tutorial by Scaler Topics,Online Course,https://www.scaler.com/topics/javascript/,"Visual,Auditory,Kinesthetic,Reading/Writing","Javascript, Beginners"
JavaScript (ES2015+) Enlightenment by Cody Lindley,Book,https://frontendmasters.com/guides/javascript-enlightenment/,Reading/Writing,"Javascript, Beginners"
JavaScript Challenges Book by Tomás Corral Casas,Book,https://tcorral.github.io/javascript-challenges-book/,Reading/Writing,"Javascript, Beginners"
JavaScript For Beginners by Microsoft,Repository,https://github.com/microsoft/Web-Dev-For-Beginners,"Visual,Auditory,Kinesthetic,Reading/Writing","Javascript, Beginners"
JavaScript For Cats by Maxwell Ogden,Book,http://jsforcats.com/,Reading/Writing,"Javascript, Beginners"
JavaScript Interview #35 by Coderslang Master,Online Course,https://gumroad.com/l/javascript-interview-35,"Visual,Auditory,Kinesthetic,Reading/Writing","Javascript, Beginners"
JavaScript Array Methods by Florin Pop,Video,https://youtube.com/playlist?list=PLgBH1CvjOA62PBFIDq55-S6Beivje30A2,Visual,"Javascript, Beginners"
JavaScript Testing Fundamentals,Online Course,https://vueschool.io/courses/javascript-testing-fundamentals,"Visual,Auditory,Kinesthetic,Reading/Writing","Javascript, Beginners"
JavaScript Regex Cheatsheet by Debuggex,Book,https://www.debuggex.com/cheatsheet/regex/javascript,Reading/Writing,"Javascript, Beginners"
JavaScript WorldWide Cheatsheet by Cheatography,Book,https://cheatography.com/davechild/cheat-sheets/javascript/,Reading/Writing,"Javascript, Beginners"
JavaScript ES6 and beyond by Alberto Montalesi,Book,https://github.com/AlbertoMontalesi/JavaScript-es6-and-beyond-ebook,Reading/Writing,"Javascript, Beginners"
JavaScript Notes for Professionals by Compiled from StackOverflow documentation,Book,https://goalkicker.com/JavaScriptBook/,Reading/Writing,"Javascript, Beginners"
"JavaScript the Right Way by William Oliveira, Allan Esquina",Repository,https://github.com/braziljs/js-the-right-way,"Visual,Auditory,Kinesthetic,Reading/Writing","Javascript, Beginners"
JavaScript Mini Course 2020 by Kalob Taulien,Online Course,https://www.udemy.com/course/javascript-essentials-mini-course/,"Visual,Auditory,Kinesthetic,Reading/Writing","Javascript, Beginners"
JavaScript Tutorial for Beginners by The Net Ninja,Video,https://www.youtube.com/playlist?list=PL4cUxeGkcC9i9Ae2D9Ee1RvylH38dKuET,Viaual,"Javascript, Beginners"
